ticker	Volatility	VolumeAccum	VolumeBreakout	MAtrend1	MAtrend2	PriceBreakout	EMA_score	MACD_score	ADX_score	FA_PE_ROE	score	SVM_boosted
SJS	0	0	0	1	2	0	2	0	0	0	8	3
PPC	2	0	0	0	0	0	0	3	0	0	8	3
VGC	0	0	0	1	2	0	2	0	0	0	8	3
HDC	0	0	0	1	2	0	2	0	0	0	8	3
VCG	0	0	0	1	2	0	2	0	0	0	8	3
PAN	0	0	0	1	2	0	2	0	0	0	8	3
DCM	0	0	0	1	2	0	2	0	0	0	8	3
DPM	0	0	0	1	2	0	2	0	0	0	8	3
BCM	2	2	0	0	2	0	1	0	0	0	7	0
MBB	0	0	0	1	2	2	2	0	0	0	7	0
HDB	0	0	0	1	2	2	2	0	0	0	7	0
SHB	0	0	0	1	2	2	2	0	0	0	7	0
CTG	0	0	0	1	2	2	2	0	0	0	7	0
MSN	0	0	0	1	2	2	2	0	0	0	7	0
CTR	2	2	0	0	0	0	0	3	0	0	7	0
GAS	2	2	0	0	2	0	1	0	0	0	7	0
GEX	0	0	0	1	2	0	1	0	0	0	7	3
SZC	2	2	0	0	0	0	0	0	0	0	7	3
DGW	2	0	0	0	0	0	2	0	0	0	7	3
KDC	2	2	0	0	0	0	0	3	0	0	7	0
SCS	2	2	0	0	0	0	0	3	0	0	7	0
VHC	2	0	0	1	2	0	2	0	0	0	7	0
CTD	2	2	0	0	0	0	0	3	0	0	7	0
DBC	2	2	0	0	0	0	0	0	0	0	7	3
ACB	0	0	0	1	2	0	2	0	0	0	5	0
VPB	0	0	0	1	2	0	2	0	0	0	5	0
NAB	0	0	0	1	2	0	2	0	0	0	5	0
FPT	2	0	0	0	0	0	0	3	0	0	5	0
TCB	0	0	0	1	2	0	2	0	0	0	5	0
SSB	0	0	0	1	2	0	2	0	0	0	5	0
TPB	0	0	0	1	2	0	2	0	0	0	5	0
BVH	0	0	0	1	2	0	2	0	0	0	5	0
VJC	0	0	0	1	2	0	2	0	0	0	5	0
VIC	0	0	0	1	2	0	2	0	0	0	5	0
STB	0	0	0	1	2	0	2	0	0	0	5	0
EIB	0	0	0	1	2	0	2	0	0	0	5	0
EVF	0	0	0	1	2	0	2	0	0	0	5	0
OCB	0	0	0	1	2	0	2	0	0	0	5	0
PHR	0	2	0	0	0	0	0	0	0	0	5	3
PLX	2	0	0	0	2	0	0	0	0	0	4	0
BWE	2	0	0	0	2	0	0	0	0	0	4	0
SAB	2	2	0	0	0	0	0	0	0	0	4	0
PTB	2	0	2	0	0	0	0	0	0	0	4	0
SIP	2	2	0	0	0	0	0	0	0	0	4	0
DGC	2	0	0	0	0	0	0	0	0	0	2	0
FRT	2	0	0	0	0	0	0	0	0	0	2	0
REE	2	0	0	0	0	0	0	0	0	0	2	0
VTP	0	2	0	0	0	0	0	0	0	0	2	0
