organizationId,ticker,year,quarter,DebtToEquityRatio,EBITMargin,ROA,ROE,ROIC,EPS,PB,PE,NetRevenueGrowthYoY,GrossProfitGrowthYoY
2848,BSI,2023,3,0.80461436,0.51816711,0.050416,0.080065,0.07344046,605.02861081,2.25834386,28.75874463,0.52006241,1.1897444
2848,BSI,2023,4,0.70520517,0.44963358,0.0586827,0.09023561,0.02174529,317.49654551,2.15578668,24.67727898,0.08841899,1.16927238
2859,BVH,2023,1,0.08129656,-0.18995331,0.007868,0.074197,-0.25455535,711.57534353,1.65617941,21.83394043,0.01215762,-1.32822404
2859,BVH,2023,2,0.10641449,-0.22865842,0.00794617,0.07810901,-0.0654097,541.89085812,1.36863984,17.54773053,-0.04278389,-6.91341355
2859,BVH,2023,3,0.07635692,-0.24076309,0.00795,0.081056,-0.38510103,584.19300056,1.40707874,17.84375441,-0.03205895,-44.14093866
2859,BVH,2023,4,0.15200222,-0.20678897,0.00844374,0.08914112,,483.08641268,1.37222928,16.40723415,-0.00170282,-0.92749695
2499,CII,2023,1,1.82656154,0.23230996,0.001895,0.010209,0.01893086,25.08890866,1.07728475,57.14284075,0.05100453,0.06430446
2499,CII,2023,2,1.62323454,0.09626518,0.000663,0.003393,0.01522469,127.08912402,0.6774353,65.75605421,-0.15243177,-0.55408804
2499,CII,2023,3,1.60060357,0.25227058,0.00248987,0.01207542,0.00673506,75.72698312,0.98827168,72.69548227,-0.66477783,-0.19284852
2499,CII,2023,4,2.2174941,0.23645927,0.00577352,0.06323301,0.02154832,385.52272946,0.81152256,24.77997625,-0.60561278,0.3484278
2475,CMG,2023,1,0.424317,0.02894355,0.04708802,0.13123029,0.08990314,294.72583693,2.9303712,23.31378595,0.03104484,0.06529534
2475,CMG,2023,2,0.49619393,0.05547775,,,,,,,0.03638698,-0.05386981
2475,CMG,2023,3,0.50409788,0.03819026,0.04479432,0.122868,0.00752884,448.42901885,2.96863236,24.82662933,-0.01960564,-0.14477622
2475,CMG,2023,4,0.54030144,0.07404924,0.04568913,0.15079085,0.07810347,684.52535166,2.92966022,23.5184055,-0.08051806,0.01738635
2564,CTD,2023,1,0.14120794,-0.00537311,0.00074,0.001653,-0.01555854,280.23450819,0.66503295,401.13144161,0.6364038,-0.1655754
2564,CTD,2023,2,0.14447455,-0.00538368,0.00346092,0.00821607,-0.00390237,382.29304106,0.62496264,76.2505622,0.10182404,-0.53103901
2564,CTD,2023,3,0.13588299,0.00417043,0.00680754,0.0166662,,642.93954561,0.82226133,49.66619668,0.32454055,2.04879567
2564,CTD,2023,4,0.12825282,0.00827404,0.00925376,0.02261354,0.00086103,666.59719921,0.7904622,35.08236175,-0.09154771,-0.01576385
2576,CTR,2023,1,0.87829891,0.05672594,0.087464,0.30488,0.22770785,948.45505188,4.71992282,17.81416062,0.16890342,0.15172792
2576,CTR,2023,2,0.87227755,0.05609831,0.08252613,0.2965201,0.04956531,1085.23831875,4.98285354,17.12896535,0.21482913,0.27066293
2576,CTR,2023,3,0.84923215,0.05678593,0.07886711,0.28961083,0.04477421,1229.08600501,5.81048945,21.32771533,0.18344779,0.10302538
2576,CTR,2023,4,0.79045537,0.05591402,0.07964545,0.28571346,0.04692222,1252.26897532,7.13482377,27.49459234,0.20415046,0.1751946
2569,CTS,2023,1,2.37989688,0.46795003,0.004151,0.01305,0.05393283,72.45325861,1.7992896,138.6406822,-0.12111252,-0.21169533
2569,CTS,2023,2,2.41854253,0.49117661,0.01610952,0.05171199,0.01116273,514.15969367,1.77264239,35.3351208,0.22260906,2.02717028
2569,CTS,2023,3,2.78682262,0.60157315,0.02275,0.079125,0.07517313,455.05078755,2.10580059,27.8512677,0.77660966,1.11459037
2569,CTS,2023,4,3.11949443,0.43212882,0.02759272,0.09638248,0.01676875,219.48596681,2.54288932,27.65322819,0.62091879,0.88903985
2548,DBC,2023,1,1.20378299,-0.10829126,-0.015098,-0.038484,0.02801702,-1325.3143406,1.45632441,-35.10196462,-0.17539155,-1.27715755
2548,DBC,2023,2,1.12097737,0.12431976,0.01099437,0.02863768,0.0246723,1350.48546766,1.11697513,38.94096297,0.17081383,1.3248283
2548,DBC,2023,3,1.0801713,0.03127982,-0.00490506,-0.01316144,0.07622032,51.50238806,1.3502879,-103.8500505,-0.24045705,-0.42172435
2548,DBC,2023,4,1.25735964,0.02275543,0.00192468,0.00537358,0.02611695,26.66120438,1.47029734,274.35115845,-0.10782839,0.61331416
2599,DCM,2023,1,0.00026428,0.0539651,0.212175,0.290151,0.31401465,432.05319735,1.44124845,5.21985212,-0.32887427,-0.71236487
2599,DCM,2023,2,0.02755086,0.0605043,0.157009,0.215265,0.21701726,588.32572718,1.56595999,7.64194609,-0.19414011,-0.72432125
2599,DCM,2023,3,0.03068467,-0.03326636,0.10932686,0.15384951,0.01239666,139.22358998,1.71524363,10.13088235,-0.08966995,-0.82398079
2599,DCM,2023,4,0.08493486,0.12343288,0.0754225,0.10824273,0.07100189,931.61011992,1.63309676,14.63271259,-0.20027538,-0.32168246
4411,DGW,2023,1,0.70884966,0.02444569,0.08831,0.241062,0.15065951,486.36380604,3.6538327,16.39290555,-0.43499834,-0.44102877
4411,DGW,2023,2,0.83447864,0.02426095,0.07837182,0.20690554,0.03611209,508.60246985,3.32179618,16.58426795,-0.06402176,0.22717656
4411,DGW,2023,3,0.76490612,0.02271853,0.065118,0.167722,0.11503258,627.45075965,3.49051602,21.49904533,-0.10757334,-0.05201553
4411,DGW,2023,4,0.88576378,0.01777021,0.05130749,0.14536389,0.09113756,535.61730178,3.79903297,27.31511888,0.18989711,0.10881231
2623,DIG,2023,1,0.35123368,0.00662361,0.011124,0.022401,0.01801024,129.36602892,2.04967914,92.89333504,-0.62078225,-0.75418232
2623,DIG,2023,2,0.34607581,-0.06405271,0.006354,0.012341,0.00413593,17.19890224,1.58321259,130.04701011,-0.71765123,-0.87119008
2623,DIG,2023,3,0.35649206,0.08627723,0.00781114,0.01457607,0.00121151,27.86362418,2.13321034,146.90503831,-0.44476522,-0.4101313
2623,DIG,2023,4,0.39122742,0.08681931,0.00752023,0.0146991,0.00319519,108.72400945,2.21626579,142.79712351,0.10994637,-0.06493136
2649,DSE,2023,1,0.94357148,0.36074958,0.017018,0.032103,0.02133483,,,,0.83031451,0.81420021
2649,DSE,2023,2,1.02054781,0.3495909,0.023408,0.04745,0.02805429,,,,0.41024065,24.85621437
2649,DSE,2023,3,0.94224539,0.29887508,0.02677599,0.05598991,0.00768424,,,,0.78094155,1.39174264
2649,DSE,2023,4,1.10647531,0.55314341,0.03305389,0.07109429,0.00954269,,,,0.45287872,1.05450727
2669,DPM,2023,1,0.05029071,0.07801587,0.220365,0.284371,0.31218074,664.56107742,1.23806999,4.14190137,-0.43993868,-0.81475107
2669,DPM,2023,2,0.05054541,0.00800149,0.153161,0.194121,0.1822032,257.65974436,0.98936204,4.93519101,-0.26054134,-0.79863192
2669,DPM,2023,3,0.05614268,0.01925001,0.09989495,0.12533276,0.01873751,163.57508208,1.15790123,8.3510898,-0.17232608,-0.72609987
2669,DPM,2023,4,,-0.0133981,0.03350526,0.04204658,0.02011471,275.14907225,1.08757465,23.80550265,-0.13279824,-0.79730025
2682,DXG,2023,1,0.42587205,-0.01302892,-0.007039,-0.023239,-0.00532668,-155.30503919,1.26349578,-53.31650769,-0.78903366,-0.83948446
2682,DXG,2023,2,0.42667527,0.11499245,-0.006283,-0.020797,-0.00630254,255.30453768,1.09223673,-52.49218221,-0.53941236,-0.63414729
2682,DXG,2023,3,0.39339495,0.27152807,-0.009109,-0.03010577,-0.01855013,111.23929512,1.44367615,-41.2388391,-0.03280609,-0.12887228
2682,DXG,2023,4,0.37273113,0.23635502,0.00581938,0.01611299,0.01275941,77.01753791,1.23781389,59.95976006,0.42240151,0.48181429
6747,DXS,2023,1,0.27591121,-0.00759291,0.009252,0.02593,0.03566443,-85.60016896,0.86754202,33.33255845,-0.61909305,-0.78588531
6747,DXS,2023,2,0.26663453,0.02837406,-0.002248,-0.006202,-0.00025173,-41.83100288,0.60504965,-96.80019012,-0.4888013,-0.78275157
6747,DXS,2023,3,0.25402759,0.15003889,-0.00948795,-0.02571188,0.00016324,7.55958701,0.70451859,-27.32615919,-0.51601356,-0.659353
6747,DXS,2023,4,0.26583596,0.02850715,-0.01048804,-0.02690719,0.02128113,-198.38543543,0.69497778,-24.10127427,-0.45991448,-0.48840815
1187,FRT,2023,1,2.38779412,0.00875331,0.022153,0.113705,0.05214765,-42.83100058,5.32548413,48.33616118,-0.00420875,-0.03762039
1187,FRT,2023,2,2.3725541,-0.0188877,-0.004572,-0.023301,-0.04256649,-1604.53769156,6.82272328,-263.9686997,0.15412641,0.14645615
1187,FRT,2023,3,3.14494284,0.00551823,-0.014726,-0.08077,0.03402161,-154.7680241,8.68093796,-98.40213227,0.06833491,0.14598925
1187,FRT,2023,4,4.7163857,-0.0071778,-0.02926423,-0.18250739,0.001295,-740.42432147,13.03423821,-60.30805197,0.0274533,0.14430467
2982,FTS,2023,1,0.42746893,0.53761624,0.031821,0.056011,0.04461301,405.69972638,1.99584463,35.67710958,-0.51282721,-0.57164874
2982,FTS,2023,2,0.44876001,0.63912222,0.04313169,0.0746556,0.0215477,652.94133001,2.60497067,35.36662309,0.21732301,0.43228144
2982,FTS,2023,3,0.65508887,0.64421232,0.081512,0.143712,0.10607024,855.94627157,2.6836198,19.57533307,4.97352263,16.595654
2982,FTS,2023,4,0.86392902,0.33379698,0.06580317,0.12726539,0.01916641,195.87246815,3.12667444,25.60789018,-0.16580036,-0.35784358
2950,GEX,2023,1,0.87077533,0.10414483,0.000359,0.001579,0.05887114,-108.37922521,1.63489973,1015.13779572,-0.25856465,-0.30676906
2950,GEX,2023,2,0.83360665,0.1343196,0.006196,0.026988,0.05921802,377.14321586,1.28929586,48.24894166,-0.11837326,-0.1522157
2950,GEX,2023,3,0.87126112,0.09692835,0.00821546,0.03572732,0.02649832,143.31409351,1.50708394,42.8795372,0.0674895,0.05154707
2950,GEX,2023,4,0.94184007,0.04036344,0.00614837,0.07072494,0.02935535,-23.32528646,1.40625154,52.58099171,0.10103505,-0.1160543
6734,GEE,2023,1,1.4378234,0.09740347,0.034003,0.119607,0.07640902,239.00627753,1.53337516,12.84512432,-0.26102382,-0.09595073
6734,GEE,2023,2,1.23023796,0.06466967,0.035588,0.117589,0.07220707,285.03690626,1.6651057,14.28993863,-0.16969903,-0.32723877
6734,GEE,2023,3,0.91517647,0.08290912,0.06469127,0.19890328,0.01180208,1600.04116648,1.58831372,8.05722513,0.25021945,0.25649705
6734,GEE,2023,4,0.94075586,0.06703999,0.04815606,0.14894561,0.0188581,375.92631148,1.65364369,12.05631004,0.27205135,0.11573424
2968,GMD,2023,1,0.23431128,0.3326654,0.074494,0.131831,0.11137767,670.83313546,2.44214853,18.83040242,0.0251322,0.21132977
2968,GMD,2023,2,0.20435578,0.33253656,0.17505301,0.30608325,0.02443276,5476.18004918,2.12785787,7.99981759,-0.06723973,0.0537973
2968,GMD,2023,3,0.19711131,0.36364208,0.170943,0.294519,0.10388188,830.80447039,2.52178964,9.13754515,0.00602998,0.15493642
2968,GMD,2023,4,0.20231181,0.14476117,0.16936483,0.32682141,0.09543542,375.40294105,3.04679754,11.34501092,-0.03009271,-0.06327588
3060,HAG,2023,1,1.52921431,0.18654942,0.061728,0.252687,0.18830847,313.84854317,1.5911913,6.6824301,1.11423621,0.42288551
3060,HAG,2023,2,1.5480342,0.08566973,0.051138,0.207485,0.11517207,98.33798386,1.54087348,7.48016582,0.17963455,0.23068389
3060,HAG,2023,3,1.4032011,0.21816746,0.04784,0.193481,0.11214132,344.97633264,2.60173469,13.97678199,0.31075809,0.84708932
3060,HAG,2023,4,1.1760943,0.02946714,0.081764,0.293125,0.06316661,1085.63078676,2.0619318,6.93226201,0.17896997,-0.48119505
3071,HHV,2023,1,2.42982976,0.44990854,0.007921,0.040278,0.02985153,236.84148978,0.72457287,17.48634803,0.25182747,0.01440696
3071,HHV,2023,2,2.37961597,0.45039831,0.00848259,0.04249028,0.00413829,287.38440188,0.5853162,13.66959873,0.26505035,0.15447482
3071,HHV,2023,3,2.34217802,0.4215278,0.009165,0.045248,0.0319882,306.42575715,0.8655806,16.17981923,0.19597507,0.16029168
3071,HHV,2023,4,2.32343608,0.25061878,0.00889432,0.0496734,0.03050411,156.17742952,0.6947233,13.96135129,0.39705511,-0.10581424
3099,HCM,2023,1,0.68785882,0.24285187,0.039939,0.087417,0.06447593,270.17848714,1.70550643,19.71259871,-0.40965653,-0.46323746
3099,HCM,2023,2,0.75000881,0.3333982,0.035393,0.071824,0.05540631,343.2179447,1.66863693,23.12509872,-0.50536717,-0.34090908
